State,Year,Month,Total Deaths,Drug Deaths
WV,2016,May,21717,779
WV,2016,June,21817,804
WV,2016,July,21830,809
WV,2016,August,21807,821
WV,2016,September,21845,838
WV,2016,October,21840,824
WV,2016,November,21916,856
WV,2016,December,21990,879
WV,2017,January,22174,911
WV,2017,February,22226,929
WV,2017,March,22371,949
WV,2017,April,22448,983
WV,2017,May,22418,991
WV,2017,June,22365,1007
WV,2017,July,22275,1026
WV,2017,August,22358,1027
WV,2017,September,22283,1006
WV,2017,October,22354,1011
WV,2017,November,22403,999
WV,2017,December,22562,997
WV,2018,January,22846,949
WV,2018,January,22846,958
WV,2018,January,22849,949
WV,2018,January,22849,958
WV,2018,February,22842,918
WV,2018,February,22842,931
WV,2018,February,22849,918
WV,2018,February,22849,931
WV,2018,March,22831,887
WV,2018,March,22831,903
WV,2018,March,22841,887
WV,2018,March,22841,903
WV,2018,April,22819,829
WV,2018,April,22819,857
WV,2018,April,22832,829
WV,2018,April,22832,857
WV,2018,May,22947,793
WV,2018,May,22947,832
WV,2018,May,22963,793
WV,2018,May,22963,832
WV,2018,June,23026,763
WV,2018,June,23026,817
WV,2018,June,23044,763
WV,2018,June,23044,817
WV,2018,July,23069,697
WV,2018,July,23069,781
WV,2018,July,23089,697
WV,2018,July,23089,781
WY,2015,January,4365,105
WY,2015,February,4395,104
WY,2015,March,4456,104
WY,2015,April,4526,112
WY,2015,May,4507,113
WY,2015,June,4487,104
WY,2015,July,4521,105
WY,2015,August,4541,102
WY,2015,September,4508,100
WY,2015,October,4499,95
WY,2015,November,4500,93
WY,2015,December,4507,92
WY,2016,January,4445,94
WY,2016,February,4454,90
WY,2016,March,4422,98
WY,2016,April,4379,93
WY,2016,May,4404,94
WY,2016,June,4430,101
WY,2016,July,4387,99
WY,2016,August,4395,95
WY,2016,September,4358,93
WY,2016,October,4365,94
WY,2016,November,4337,94
WY,2016,December,4347,93
WY,2017,January,4352,91
WY,2017,February,4339,90
WY,2017,March,4346,82
WY,2017,April,4380,80
WY,2017,May,4383,73
WY,2017,June,4323,64
WY,2017,July,4321,62
WY,2017,August,4297,64
WY,2017,September,4332,62
WY,2017,October,4354,66
WY,2017,November,4380,71
WY,2017,December,4374,66
WY,2018,January,4425,63
WY,2018,February,4431,64
WY,2018,March,4456,65
WY,2018,April,4447,66
WY,2018,May,4447,64
YC,2015,January,53516,794
YC,2015,February,54100,800
YC,2015,March,54149,781
YC,2015,April,53978,796
YC,2015,May,54029,810
YC,2015,June,54107,814
YC,2015,July,54291,826
YC,2015,August,54505,858
YC,2015,September,54449,886
YC,2015,October,54572,918
YC,2015,November,54320,944
YC,2015,December,54120,959
YC,2016,January,53624,987
YC,2016,February,53421,1019
YC,2016,March,53547,1076
YC,2016,April,53516,1118
YC,2016,May,53496,1146
YC,2016,June,53435,1192
YC,2016,July,53502,1251
YC,2016,August,53485,1279
YC,2016,September,53533,1311
YC,2016,October,53545,1344
YC,2016,November,53882,1371
YC,2016,December,54280,1424
YC,2017,January,54566,1483
YC,2017,February,54403,1494
YC,2017,March,54145,1466
YC,2017,April,54067,1468
YC,2017,May,54194,1488
YC,2017,June,54245,1509
YC,2017,July,54200,1503
YC,2017,August,54191,1497
YC,2017,September,54331,1514
YC,2017,October,54287,1507
YC,2017,November,54241,1509
YC,2017,December,54319,1493
YC,2018,January,54737,1488
YC,2018,February,54919,1492
YC,2018,February,54919,1493
YC,2018,March,54993,1509
YC,2018,March,54993,1515
YC,2018,April,55067,1523
YC,2018,April,55067,1534
YC,2018,April,55068,1523
YC,2018,April,55068,1534
YC,2018,May,54916,1489
YC,2018,May,54916,1512
YC,2018,May,54917,1489
YC,2018,May,54917,1512
YC,2018,June,54997,1467
YC,2018,June,54997,1501
YC,2018,June,54998,1467
YC,2018,June,54998,1501
YC,2018,July,55034,1432
YC,2018,July,55034,1483
YC,2018,July,55035,1432
YC,2018,July,55035,1483
VA,2018,August,68066,1400
WA,2018,August,56989,1082
WI,2018,August,53631,1075
WV,2018,August,23046,776
WY,2018,August,4512,64
YC,2018,August,54993,1511
