NPI,Provider Last Name,Provider First Name,Zip Code,State,Specialty,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,PAC ID,Year
1003000407,GIRARDI,DAVID,15825.0,PA,Family Practice,1388.0,26.0,1.8731988472999999,2769663509.0,2015.0
1003002932,GALUSKA,MICHAEL,92055.0,CA,Emergency Medicine,97.0,20.0,20.618556701,9739344656.0,2015.0
1003003856,SANTIAGO,CYNTHIA,11776.0,NY,Family Practice,2741.0,28.0,1.0215249909,6305813148.0,2015.0
1003006503,JEGEDE,OLUGBEMIGA,48503.0,MI,Internal Medicine,1606.0,86.0,5.354919053500001,1951572312.0,2015.0
1003007295,UZOWULU,OBINNA,78261.0,TX,Family Practice,237.0,21.0,8.8607594937,5395939409.0,2015.0
1003009853,DUNN,GRACE,32619.0,FL,Family Practice,9458.0,688.0,7.2742651723,8820286743.0,2015.0
1003012451,MITRA,RANJANA,23502.0,VA,Internal Medicine,277.0,24.0,8.6642599278,7113015124.0,2015.0
1003015124,EVERT,JESSICA,94598.0,CA,Family Practice,47.0,12.0,25.531914894,5496823338.0,2015.0
1003015462,CHANG,CHUN,95351.0,CA,Emergency Medicine,342.0,44.0,12.865497075999999,4082832886.0,2015.0
1003017047,PESCE,DANIELLE,76544.0,TX,Emergency Medicine,186.0,32.0,17.204301075,1456534932.0,2015.0
1003019043,GOEKE,KATHRYN,80228.0,CO,Family Practice,215.0,27.0,12.558139535,143397588.0,2015.0
1003022682,SHAH,MAULIK,93720.0,CA,Internal Medicine,2484.0,123.0,4.9516908213,7618016049.0,2015.0
1003032202,CHOWDHARY,NEHA,29650.0,SC,Physical Medicine and Rehabilitation,1163.0,575.0,49.441100602,7214183797.0,2015.0
1003041708,HILDEBRAND,JAMES,4401.0,ME,Emergency Medicine,103.0,25.0,24.27184466,6608036645.0,2015.0
1003041831,CARROTHERS,IRENE,75071.0,TX,Internal Medicine,172.0,13.0,7.5581395349000005,547418238.0,2015.0
1003043787,ANUSIONWU,NGOZIKA,45255.0,OH,Internal Medicine,243.0,11.0,4.5267489712,6709030679.0,2015.0
1003045709,PHAM,VICTOR,60612.0,IL,Internal Medicine,512.0,28.0,5.46875,9537310081.0,2015.0
1003047564,MURUKESAN,VIDHYA,68131.0,NE,Internal Medicine,1157.0,24.0,2.0743301642,6507015542.0,2015.0
1003048687,KOLLU,VIDYA,48532.0,MI,Internal Medicine,210.0,19.0,9.0476190476,9436300514.0,2015.0
1003054552,SAROS,CATHLEEN,7508.0,NJ,Family Practice,699.0,15.0,2.1459227468,7012196041.0,2015.0
1003070749,ANAMEZE,SAMUEL,12180.0,NY,Internal Medicine,358.0,24.0,6.703910614500001,2668546037.0,2015.0
1003072547,MEHDI,ASAD,49068.0,MI,Family Practice,552.0,18.0,3.2608695651999997,3274796792.0,2015.0
1003074501,JONES,CHRISTOPHER,80538.0,CO,Internal Medicine,288.0,23.0,7.9861111111000005,3577758226.0,2015.0
1003074832,FOX,ASHLEY,3301.0,NH,Emergency Medicine,157.0,36.0,22.929936306,2466620539.0,2015.0
1003075300,NG,JUSTIN,98405.0,WA,Emergency Medicine,300.0,62.0,20.666666667,4981855582.0,2015.0
1003076647,WETZEL,MISTY,70119.0,LA,Emergency Medicine,352.0,59.0,16.761363636,6305067273.0,2015.0
1003077058,MARTIN,JASON,32610.0,FL,Emergency Medicine,89.0,23.0,25.842696629000002,1254520893.0,2015.0
1003078023,ERCK,MATTHEW,49519.0,MI,Internal Medicine,324.0,11.0,3.3950617283999995,7719161330.0,2015.0
1003078254,RUTKOWSKI,PAUL,18764.0,PA,Internal Medicine,1005.0,39.0,3.8805970149,840321741.0,2015.0
1003080623,KLECKNER,KENNETH,19141.0,PA,Emergency Medicine,176.0,78.0,44.318181818,6406929488.0,2015.0
